step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2001,6.6791090965271,43.61467742919922,40.78907012939453,0.29988229411764705
3001,12.03001880645752,42.689842224121094,29.70941162109375,0.2998234705882353
4001,18.45566177368164,41.92555236816406,28.346179962158203,0.2997646470588235
5001,25.872648239135742,45.00341033935547,30.843807220458984,0.2997058235294118
6001,34.27507400512695,46.973777770996094,30.861846923828125,0.299647
7001,43.65884780883789,55.2247314453125,40.180908203125,0.2995881764705882
8001,53.960845947265625,57.822303771972656,53.82215118408203,0.29952935294117644
9001,62.4034538269043,61.614009857177734,63.69136047363281,0.2994705294117647
10001,69.82738494873047,81.19975280761719,84.61453247070312,0.29941170588235294
11001,76.59823608398438,64.05326843261719,66.96942138671875,0.29935288235294116
12001,83.1006851196289,103.40069580078125,101.67472839355469,0.2992940588235294
13001,89.05599212646484,110.24878692626953,112.94581604003906,0.29923523529411766
14001,95.45059204101562,154.720947265625,153.1306610107422,0.2991764117647059
15001,101.85092163085938,118.38644409179688,112.97285461425781,0.2991175882352941
16001,109.1551284790039,180.28639221191406,179.46463012695312,0.29905876470588233
17001,117.39771270751953,161.02883911132812,157.21751403808594,0.29899994117647055
18001,123.76348114013672,165.91412353515625,173.19419860839844,0.29894111764705883
19001,130.67160034179688,315.904052734375,307.7447204589844,0.29888229411764705
20001,138.48231506347656,219.198974609375,218.64488220214844,0.2988234705882353
21001,146.7860870361328,278.0946044921875,275.62750244140625,0.2987646470588235
22001,151.02928161621094,381.51422119140625,380.8619079589844,0.2987058235294118
23001,159.1488037109375,530.018798828125,520.3516845703125,0.298647
24001,164.77581787109375,456.223388671875,472.7947998046875,0.2985881764705882
25001,172.08387756347656,320.9845886230469,335.50531005859375,0.29852935294117644
26001,181.96556091308594,332.33819580078125,304.6657409667969,0.2984705294117647
27001,181.23667907714844,467.437255859375,395.8750305175781,0.29841170588235294
28001,187.74737548828125,566.2214965820312,558.8207397460938,0.29835288235294116
29001,193.78672790527344,473.8403625488281,470.45953369140625,0.2982940588235294
30001,196.959228515625,642.5870361328125,660.664306640625,0.29823523529411766
31001,199.7433624267578,618.2240600585938,609.4977416992188,0.2981764117647059
32001,200.65411376953125,563.8599853515625,656.21044921875,0.2981175882352941
33001,191.60813903808594,863.5795288085938,874.5009765625,0.29805876470588233
34001,189.3649444580078,534.8545532226562,553.896728515625,0.29799994117647055
35001,188.1848602294922,868.6893920898438,886.1888427734375,0.29794111764705883
36001,191.03993225097656,715.8637084960938,705.4471435546875,0.29788229411764705
37001,181.28494262695312,535.7228393554688,550.7766723632812,0.2978234705882353
38001,182.28466796875,802.05712890625,791.2691650390625,0.2977646470588235
39001,167.03244018554688,781.9269409179688,649.2320556640625,0.2977058235294118
40001,168.9837188720703,615.2885131835938,603.7611694335938,0.297647
41001,174.9047088623047,743.3612060546875,727.885498046875,0.2975881764705882
42001,162.0859832763672,606.289794921875,597.7417602539062,0.29752935294117644
43001,173.08282470703125,484.36419677734375,540.1258544921875,0.2974705294117647
44001,169.88035583496094,570.1242065429688,550.16943359375,0.29741170588235294
